"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2014",44.5,
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2018",30.9,
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2020",31.3,
"AUS","GPENSION","WOMEN","PC_PRERETEARN","A","2014",40.9,
"AUS","GPENSION","WOMEN","PC_PRERETEARN","A","2018",28.1,
"AUS","GPENSION","WOMEN","PC_PRERETEARN","A","2020",28.4,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2014",78.1,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2018",76.5,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2020",74.1,
"AUT","GPENSION","WOMEN","PC_PRERETEARN","A","2014",78.1,
"AUT","GPENSION","WOMEN","PC_PRERETEARN","A","2018",76.5,
"AUT","GPENSION","WOMEN","PC_PRERETEARN","A","2020",74.1,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2014",46.6,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2018",46.8,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2020",43.4,
"BEL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",46.6,
"BEL","GPENSION","WOMEN","PC_PRERETEARN","A","2018",46.8,
"BEL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",43.4,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2014",36.7,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2018",39,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2020",38.8,
"CAN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",36.7,
"CAN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",39,
"CAN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",38.8,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2014",49,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2018",45.9,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2020",49,
"CZE","GPENSION","WOMEN","PC_PRERETEARN","A","2014",49,
"CZE","GPENSION","WOMEN","PC_PRERETEARN","A","2018",45.9,
"CZE","GPENSION","WOMEN","PC_PRERETEARN","A","2020",49,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2014",67.8,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2018",74.4,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2020",80,
"DNK","GPENSION","WOMEN","PC_PRERETEARN","A","2014",67.8,
"DNK","GPENSION","WOMEN","PC_PRERETEARN","A","2018",74.4,
"DNK","GPENSION","WOMEN","PC_PRERETEARN","A","2020",80,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2014",55.8,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2018",56.5,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2020",56.6,
"FIN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",55.8,
"FIN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",56.5,
"FIN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",56.6,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2014",55.4,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2018",60.1,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2020",60.2,
"FRA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",55.4,
"FRA","GPENSION","WOMEN","PC_PRERETEARN","A","2018",60.1,
"FRA","GPENSION","WOMEN","PC_PRERETEARN","A","2020",60.2,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2014",37.5,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2018",38.7,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2020",41.5,
"DEU","GPENSION","WOMEN","PC_PRERETEARN","A","2014",37.5,
"DEU","GPENSION","WOMEN","PC_PRERETEARN","A","2018",38.7,
"DEU","GPENSION","WOMEN","PC_PRERETEARN","A","2020",41.5,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2014",66.7,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2018",49.9,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2020",72.6,
"GRC","GPENSION","WOMEN","PC_PRERETEARN","A","2014",66.7,
"GRC","GPENSION","WOMEN","PC_PRERETEARN","A","2018",49.9,
"GRC","GPENSION","WOMEN","PC_PRERETEARN","A","2020",72.6,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2014",58.7,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2018",56.1,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2020",62.5,
"HUN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",58.7,
"HUN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",52.2,
"HUN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",58.1,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2014",69.2,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2018",66.1,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2020",51.8,
"ISL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",69.2,
"ISL","GPENSION","WOMEN","PC_PRERETEARN","A","2018",66.1,
"ISL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",51.8,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2014",34.7,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2018",27,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2020",29.7,
"IRL","GPENSION","WOMEN","PC_PRERETEARN","A","2014",34.7,
"IRL","GPENSION","WOMEN","PC_PRERETEARN","A","2018",27,
"IRL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",29.7,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2014",69.5,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2018",79.5,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2020",74.6,
"ITA","GPENSION","WOMEN","PC_PRERETEARN","A","2014",69.5,
"ITA","GPENSION","WOMEN","PC_PRERETEARN","A","2018",79.5,
"ITA","GPENSION","WOMEN","PC_PRERETEARN","A","2020",74.6,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2014",35.1,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2018",32,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2020",32.4,
"JPN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",35.1,
"JPN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",32,
"JPN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",32.4,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2014",39.3,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2018",37.3,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2020",31.2,
"KOR","GPENSION","WOMEN","PC_PRERETEARN","A","2014",39.3,
"KOR","GPENSION","WOMEN","PC_PRERETEARN","A","2018",37.3,
"KOR","GPENSION","WOMEN","PC_PRERETEARN","A","2020",31.2,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2014",76.8,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2018",78.8,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2020",76.6,
"LUX","GPENSION","WOMEN","PC_PRERETEARN","A","2014",76.8,
"LUX","GPENSION","WOMEN","PC_PRERETEARN","A","2018",78.8,
"LUX","GPENSION","WOMEN","PC_PRERETEARN","A","2020",76.6,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2014",25.5,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2018",25.7,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2020",61.2,
"MEX","GPENSION","WOMEN","PC_PRERETEARN","A","2014",23.6,
"MEX","GPENSION","WOMEN","PC_PRERETEARN","A","2018",24,
