Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.1. Total assets in funded and private pension plans, in millions of national currency, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"519,030","518,100","537,781","642,962","764,552","912,367","1,195,170","1,137,897","1,069,052","1,193,337","1,338,843","1,399,298","1,599,898","1,785,336","1,976,058","2,064,166","2,390,620","2,514,829","2,640,157","2,618,766","3,048,589", ,,
Austria (1),"6,337","8,343","9,339","10,370","11,726","12,743","13,150","12,546","14,063","15,217","14,764","16,306","18,253","19,171","20,569","20,852","22,323","21,426","24,296","24,965","26,973", ,,
Belgium (2),"14,265","13,187","10,756","11,554","68,032","71,068","77,678","77,317","83,406","87,782","94,254","100,046","105,393","109,938","121,909","131,218","159,038","157,536","166,568","182,301",.., ,,
Canada (3),"1,181,313","1,138,093","1,263,769","1,413,987","1,595,658","1,789,723","1,934,029","1,695,338","1,798,780","2,057,715","2,194,566","2,312,776","2,558,780","2,837,836","3,080,413","3,192,968","3,414,719","3,443,410","3,675,451","3,961,807","4,140,518", ,,
Chile,"23,219,362","25,521,621","29,505,951","33,889,085","38,312,676","47,186,675","55,173,152","46,750,900","59,785,152","69,523,450","70,377,419","77,543,241","85,366,585","100,479,815","109,433,421","116,428,629","129,511,362","134,344,716","160,371,375","151,975,242","145,145,337", ,,
Colombia,"11,365,880","15,675,986","20,341,995","26,447,502","38,872,137","43,338,555","64,867,218","69,025,803","67,015,269","87,911,524","104,916,828","120,856,919","128,639,830","152,499,223","163,672,394","193,781,053","230,725,931","236,546,801","283,590,743","320,558,578","367,014,912", ,,
Costa Rica (4),"161,861","292,261","432,175","379,625","551,293","774,952","842,379","1,120,971","1,339,188","1,453,484","1,795,276","2,213,151","2,734,179","3,153,594","4,854,558","5,518,666","8,480,848","10,002,996","11,535,975","13,295,527","15,993,666", ,,
Czech Republic,"53,377","67,206","80,223","99,803","123,417","145,948","167,197","191,705","215,871","232,422","247,509","273,198","297,428","339,175","373,066","402,119","445,405","470,327","507,730","542,093","574,740", ,,
Denmark,"1,282,842","1,496,936","1,644,308","1,843,244","2,149,951","2,287,477","2,385,164","2,647,974","2,744,949","3,104,432","3,341,040","3,600,384","3,578,733","4,014,761","4,088,260","4,315,576","4,479,933","4,426,786","5,085,550","5,343,464","5,839,105", ,,
Estonia,..,29,104,222,394,631,904,921,"1,171","1,326","1,396","1,763","2,062","2,542","2,963","3,468","4,035","4,347","5,214","5,843","5,152", ,,
Finland (5),"78,373","80,194","88,860","105,288","120,762","129,979","142,013","131,609","148,962","164,091","99,484","107,277","115,520","122,605","122,077","127,946","135,395","132,705","143,186","152,181","174,089", ,,
France,..,..,..,..,..,"103,661","110,702","121,359","154,494","169,088","173,288","183,264","196,764","186,453","194,961","230,141","244,505","252,996","264,134","280,429",.., ,,
Germany,"76,634","74,048","78,847","85,877","95,172","100,728","115,733","119,016","130,458","140,158","149,094","167,585","171,802","194,551","202,239","215,645","225,902","234,538","258,608","275,828","287,042", ,,
Greece (6),..,..,..,..,..,..,25,34,45,53,73,86,979,"1,089","1,135","1,190","1,338","1,384","1,558","1,643","1,839", ,,
Hungary (7),"593,448","766,130","986,276","1,415,969","1,863,200","2,309,891","2,766,268","2,567,247","3,412,000","3,964,528","1,060,484","1,111,079","1,187,403","1,306,716","1,381,292","2,067,519","2,269,810","2,238,570","2,503,766","2,653,021","2,880,498", ,,
Iceland (8),"653,666","694,168","843,050","1,018,510","1,242,336","1,549,840","1,737,801","1,770,047","1,930,934","2,093,851","2,279,803","2,565,906","2,836,386","3,076,521","3,453,653","3,650,780","4,203,483","4,513,134","5,285,032","6,056,709","7,067,544", ,,
Ireland (9),"51,149","44,810","55,451","62,334","77,933","87,744","86,602","63,519","72,200","75,500","72,300","80,500","91,500","112,458","112,358","102,249","106,537","109,822","132,556","132,393","154,570", ,,
Israel,"120,320","134,306","139,262","148,343","188,777","201,499","223,973","307,014","357,410","398,990","431,160","485,643","533,191","600,091","644,720","681,692","745,507","761,682","898,256","966,072","1,121,368", ,,
Italy (10),"33,359","35,026","38,146","41,504","47,385","52,777","59,446","63,535","74,754","84,944","92,656","106,894","118,453","134,164","142,363","156,757","167,473","172,766","194,477","208,962","224,664", ,,
Japan,"91,967,300","124,973,700","137,006,300","125,571,300","158,114,400","156,155,500","150,291,900","145,494,100","145,279,900","144,186,400","144,084,600","148,346,600","152,482,600","161,971,700","164,031,500","158,553,500","159,124,300","158,004,000","160,670,100","165,264,200","169,919,200", ,,
Korea (11),..,"51,214,582","56,959,621","63,532,550","70,284,300","65,691,486","71,350,903","78,508,318","102,070,391","183,224,206","221,428,750","267,016,396","308,971,434","359,370,815","402,537,382","440,368,061","477,033,829","508,742,853","556,633,745","609,320,329","653,905,041", ,,
Latvia,22,42,66,104,168,247,434,765,"1,141","1,336","1,411","1,661","1,922","2,317","2,679","3,168","3,709","4,070","5,075","5,707","6,744", ,,
Lithuania,..,..,..,..,..,..,..,..,..,"1,134","1,209","1,430","1,611","1,919","2,182","2,574","3,012","3,266","4,021","4,663","6,131", ,,
Luxembourg (12),..,..,..,93,320,354,374,390,844,799,832,902,959,"1,484","1,444","1,574","1,619","1,618","1,798","1,830","1,931", ,,
Mexico (13),"248,558","325,008","401,536","481,897","839,851","1,065,371","1,221,351","1,328,442","1,527,142","1,804,905","1,995,736","2,362,296","2,546,915","2,877,673","3,027,296","3,244,518","3,673,166","3,819,089","4,543,567","5,270,012","5,796,095", ,,
