Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.10. Allocation of assets in funded and private pension plans in cash and deposits, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.1,13.0,12.7,14.9,12.4, 
Austria (1),total,2.0,2.1,2.3,1.2,3.5,4.2,10.5,15.1,9.5,8.3,11.7,9.2,12.8,8.3,9.0,8.9,7.0,7.7,2.0,2.0,2.0, 
Belgium (2),varies,3.8,4.4,3.1,3.3,2.4,2.3,4.7,8.5,6.2,6.5,5.2,4.9,3.9,3.9,4.6,4.9,5.9,5.6,3.5,2.9,2.4, 
"Canada (1,3)",total,5.4,5.4,4.8,4.4,4.6,3.3,3.8,3.8,3.9,3.3,3.4,3.5,3.5,3.8,4.1,4.4,4.3,4.0,4.0,4.5,4.0, 
Chile,varies,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.9,0.6,0.3,0.3,0.5,0.3,0.3,0.6,0.3,0.2,0.3,0.8,1.1,1.7, 
Colombia,varies,0.9,1.1,0.9,0.8,2.2,0.9,1.8,1.3,2.0,3.2,1.8,2.3,2.8,3.1,3.9,3.6,2.2,3.5,2.2,2.3,1.8, 
Costa Rica (4),total,..,..,3.1,5.2,4.8,5.3,..,11.5,3.2,4.3,0.0,0.0,0.0,0.0,3.8,2.4,2.7,3.4,1.7,5.1,5.9, 
Czech Republic,direct,4.0,5.2,7.9,9.6,8.2,6.4,9.6,8.1,10.2,6.8,7.9,9.8,10.4,8.3,9.0,8.1,19.1,20.5,22.9,14.1,12.0, 
Denmark (5),direct,0.9,1.2,1.0,1.2,0.8,0.8,0.8,2.2,1.9,0.9,1.3,1.4,1.1,1.2,0.9,1.0,2.0,1.0,0.9,0.9,1.5, 
Estonia (6),varies,..,14.9,8.2,4.4,6.0,6.0,12.7,14.1,15.3,9.4,16.4,16.4,17.4,17.0,20.3,23.3,4.1,3.1,3.5,2.7,4.7, 
Finland,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,3.5,3.6,2.5,3.6,4.6, 
France (7),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 
Germany (8),total,1.5,2.3,2.4,2.5,3.8,3.8,3.8,4.7,2.9,2.5,3.6,3.0,3.7,3.5,4.4,3.5,3.8,4.2,3.9,3.0,2.7, 
Greece,varies,..,..,..,..,..,..,51.9,25.6,28.8,37.0,37.0,46.4,21.4,14.7,..,4.5,7.8,12.6,12.1,13.0,17.7, 
Hungary (1),varies,..,4.4,1.6,1.4,1.4,2.5,1.2,3.0,2.5,1.6,4.2,3.7,6.2,5.7,5.0,4.2,3.7,3.8,5.5,3.1,6.0, 
Iceland (9),total,1.7,2.2,2.6,2.4,3.0,1.3,3.4,10.7,9.1,11.3,10.6,10.3,9.4,7.9,8.4,7.9,10.0,6.9,6.6,6.4,5.4, 
Ireland (10),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,3.4,2.9,3.1,3.8,2.7,2.8, 
Israel,varies,1.8,1.5,1.3,1.9,1.4,4.7,4.1,3.7,6.7,7.0,4.6,5.2,4.8,5.0,6.0,6.4,7.1,5.7,5.5,6.1,7.0, 
Italy (1),varies,9.8,10.4,8.2,6.4,4.7,6.7,7.6,7.6,5.7,5.2,4.4,4.2,3.6,3.2,4.1,5.1,6.2,6.3,5.7,5.8,6.1, 
Japan (11),total,4.6,3.9,5.1,6.7,4.6,4.7,5.9,6.4,6.1,5.7,6.7,6.5,6.5,6.7,7.3,7.5,7.4,7.7,7.3,8.0,7.7, 
Korea (12),direct,..,4.1,4.5,4.2,4.6,7.7,10.5,18.6,19.1,15.8,18.1,18.8,17.7,18.4,18.2,18.0,17.8,18.5,..,19.4,20.4, 
Latvia,varies,..,..,..,..,..,..,..,..,38.6,38.6,24.3,19.6,15.5,13.5,19.3,12.7,7.1,6.0,6.8,7.7,3.1, 
Lithuania,total,..,..,..,..,..,..,..,..,..,4.7,6.5,3.9,3.2,6.4,9.3,9.0,5.2,7.2,2.2,2.3,3.4, 
Luxembourg,varies,..,..,..,8.8,4.6,2.8,2.2,13.5,38.6,9.4,4.8,4.7,5.0,3.6,1.7,3.3,4.1,8.2,5.4,4.8,4.2, 
Mexico (13),total,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3,0.8,1.1,1.0,1.0,0.9,0.9,1.0,0.8,1.1,1.3, 
Netherlands,total,0.0,2.9,2.2,2.7,2.3,4.3,3.9,4.0,2.2,2.4,2.0,3.0,2.7,2.7,2.2,2.5,3.3,3.1,3.1,2.7,2.0, 
New Zealand,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,7.3,6.8,7.0,6.7,7.9,7.3,6.3,4.8, 
Norway (1),total,5.8,6.5,5.5,4.7,4.9,4.6,3.2,4.4,3.9,2.6,2.7,2.7,2.3,2.7,2.4,2.2,2.4,2.0,3.0,2.2,1.7, 
Poland (1),direct,3.5,4.2,4.8,5.8,4.1,2.8,3.4,2.5,2.3,3.5,5.7,8.3,6.0,7.2,6.9,7.3,5.9,5.7,7.2,4.1,1.6, 
Portugal (14),varies,10.2,11.8,9.0,7.7,9.7,5.3,5.6,13.5,6.0,10.9,9.5,13.3,11.7,16.5,10.9,7.3,5.6,7.8,4.5,3.8,3.6, 
Slovak Republic (15),varies,..,..,31.4,..,81.9,43.1,34.1,24.4,29.2,26.5,28.1,22.7,20.5,16.9,14.5,10.0,12.0,11.2,10.9,4.6,2.7, 
Slovenia,direct,..,..,20.1,12.5,14.3,16.0,16.4,20.6,19.0,22.2,23.7,18.2,12.5,18.7,14.3,13.6,12.3,9.2,9.0,6.7,7.6, 
Spain (1),varies,4.7,5.4,4.2,4.9,4.6,5.4,5.6,22.6,16.4,17.9,14.9,14.6,13.5,12.9,14.3,12.4,11.0,10.1,6.5,7.7,7.5, 
Sweden,direct,2.2,2.6,2.8,2.3,1.9,1.4,1.4,2.6,1.5,1.6,2.0,1.8,1.5,1.4,1.2,1.0,0.9,1.0,0.9,0.9,0.7, 
Switzerland (1),varies,8.5,9.9,9.5,9.2,8.5,7.7,8.1,8.7,8.1,7.0,7.4,7.7,8.1,7.3,5.6,5.0,5.0,5.2,4.7,4.5,4.5, 
Türkiye (16),total,..,..,..,0.0,0.0,0.0,5.3,6.3,5.4,13.0,..,9.0,16.5,18.3,19.6,24.5,25.2,22.3,15.3,11.0,8.6, 
United Kingdom (17),varies,2.5,2.6,2.4,2.1,2.0,2.4,2.7,2.7,3.8,3.3,3.3,3.2,3.4,3.0,2.6,2.4,2.7,2.7,2.2,1.9,1.8, 
United States,direct,3.1,3.4,3.0,2.7,2.7,2.5,2.4,3.5,3.2,3.1,3.2,3.1,2.7,2.6,2.7,2.7,2.4,2.5,2.1,2.2,2.0, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,total,..,..,..,..,..,..,71.8,32.1,41.8,51.4,2.9,2.4,1.9,6.3,7.4,3.5,3.4,2.1,3.1,2.3,6.6, 
Angola,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,76.0,83.2,61.0,54.2,58.7,58.7,67.3,58.1, 
Armenia,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,52.3,22.8,26.8,30.0,34.4,33.1,27.9,29.3, 
Botswana,varies,..,..,..,..,..,..,..,..,..,..,..,..,13.2,..,..,..,6.7,9.6,19.4,9.7,.., 
Brazil (18),varies,..,..,..,..,..,0.0,0.1,0.0,0.0,0.0,0.1,..,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2, 
Bulgaria,direct,37.5,26.9,19.9,19.9,19.2,24.3,17.5,23.9,28.3,24.3,23.0,19.4,19.1,10.6,10.6,14.1,5.9,9.2,8.0,8.1,9.0, 
Croatia (19),total,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,2.8,5.0,4.4,6.4,2.1,4.1,3.7, 
Dominican Republic,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,.., 
Egypt,total,..,..,..,..,..,..,..,26.8,..,..,..,..,..,..,..,20.5,24.9,21.4,17.6,14.6,15.4, 
Georgia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.0,100.0,100.0, 
Ghana,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.2,13.9,3.4,1.0,3.7,6.4, 
Gibraltar (20),total,..,..,..,..,..,..,..,..,..,..,5.3,29.0,6.2,7.3,..,..,..,..,..,..,.., 
Guyana,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.7,28.6,25.1,21.9,19.8,18.9,17.2, 
Hong Kong (China) (21),total,..,14.9,17.4,16.8,15.9,16.7,12.4,14.7,14.3,11.0,13.3,13.3,12.9,13.1,12.6,12.5,11.5,13.6,13.1,12.8,12.3, 
India (22),total,..,..,..,..,..,..,..,..,..,..,3.0,2.2,2.2,1.0,0.7,0.6,0.4,0.6,0.0,0.0,0.0, 
Indonesia,direct,..,..,..,..,..,..,..,..,..,..,23.8,..,..,..,30.6,25.7,27.5,27.3,29.9,28.7,27.2, 
Jamaica,varies,..,..,..,..,..,..,0.3,1.8,2.2,0.9,0.8,1.4,2.0,1.6,1.6,1.0,1.2,1.4,1.4,2.2,2.3, 
Kazakhstan,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.5,11.5,7.4,8.2, 
Kenya,varies,8.3,6.6,4.3,4.9,3.1,2.8,..,6.9,7.6,4.2,5.3,7.3,6.2,5.5,..,5.1,4.2,4.2,4.2,3.7,2.4, 
Liechtenstein,total,..,..,..,..,..,..,4.2,6.4,9.4,8.6,7.0,7.0,7.6,6.3,4.7,5.5,6.8,5.8,5.2,4.3,5.7, 
Macau (China),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.1,11.1,13.4, 
Malawi,total,..,..,..,..,..,..,..,..,..,..,..,..,..,11.7,13.6,10.2,9.8,8.3,11.6,8.4,9.1, 
Maldives,total,..,..,..,..,..,..,..,..,..,2.6,5.5,5.8,5.0,4.3,4.4,3.4,2.6,3.2,3.0,3.7,3.7, 
Malta,direct,..,..,..,..,..,..,..,..,..,..,..,..,15.7,13.1,13.0,13.7,4.9,..,12.9,11.8,8.0, 
Mauritius,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5,8.7,..,6.8,10.6,9.9, 
Morocco,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0,..,..,1.6, 
Mozambique,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.2,56.5,24.4,21.2,13.8,16.5,8.5, 
Namibia (1),total,..,..,..,..,..,..,..,..,..,6.8,7.4,12.0,5.4,6.7,..,6.5,8.1,6.9,8.4,8.6,9.1, 
Nigeria,varies,..,..,..,..,..,..,22.8,31.8,34.0,24.6,12.8,15.6,11.7,11.7,10.7,7.2,10.1,0.4,0.6,1.0,0.5, 
North Macedonia,total,..,..,..,..,..,..,18.5,42.4,35.9,31.9,19.1,14.1,12.6,11.3,7.4,8.0,8.2,13.1,11.3,10.1,7.4, 
Pakistan,total,..,..,..,..,..,..,40.8,47.1,27.0,17.6,10.6,14.1,19.2,8.7,12.6,12.5,19.6,36.4,38.8,28.4,36.9, 
Panama,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.4,..,..,..,..,.., 
Papua New Guinea,total,..,..,..,..,..,..,..,..,..,..,..,..,11.2,..,..,..,13.4,12.4,..,..,.., 
Peru,total,21.5,24.2,15.4,6.3,6.7,5.0,2.5,8.4,3.3,6.9,5.0,4.1,13.1,6.9,11.7,6.3,6.0,2.8,2.5,5.0,4.2, 
Romania,varies,..,..,..,..,..,..,69.7,13.1,7.7,7.3,12.0,4.9,8.6,4.0,4.8,7.0,8.7,8.1,3.6,1.2,2.0, 
Russia,varies,..,..,..,..,..,..,..,..,..,..,..,..,24.1,21.4,19.4,17.8,14.8,13.6,12.0,8.4,.., 
Serbia,total,..,..,..,..,..,..,38.8,..,19.9,21.6,18.2,20.2,11.7,8.8,12.8,14.4,7.4,7.9,7.3,11.3,9.4, 
Singapore (23),total,..,..,..,..,..,..,..,..,..,..,..,..,3.7,3.5,3.4,3.4,3.2,3.2,3.0,3.0,3.0, 
South Africa (24),varies,..,..,7.1,8.2,5.8,5.0,6.7,7.5,6.3,6.5,5.7,5.0,3.7,3.5,4.8,4.0,3.6,3.2,3.3,3.4,.., 
