Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.11. Allocation of assets in funded and private pension plans in the ""other"" category, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.7,29.0,28.1,28.4,27.2, 
Austria (1),total,3.7,4.1,7.5,7.9,6.3,8.9,10.0,14.6,11.0,11.2,10.4,9.2,4.7,11.3,14.4,11.9,13.1,14.1,37.8,37.1,37.8, 
Belgium (2),varies,7.9,8.2,9.6,7.8,7.3,4.0,14.7,16.4,18.4,13.0,14.1,11.9,15.1,8.8,10.0,7.6,5.0,4.1,4.6,4.6,4.7, 
"Canada (1,3)",total,18.5,20.6,21.0,22.5,22.4,24.8,25.6,26.9,27.0,27.3,26.9,28.1,30.1,30.4,32.8,33.0,33.5,35.6,36.9,38.3,28.4, 
Chile,varies,12.9,11.1,10.0,8.2,6.0,4.5,4.0,3.8,10.4,2.8,1.5,1.3,0.9,0.7,0.5,0.5,0.5,0.3,0.2,1.1,0.1, 
Colombia,varies,5.6,5.3,6.3,5.1,50.1,0.9,10.1,8.8,2.6,3.4,13.8,10.3,13.0,20.8,23.9,7.6,7.9,9.4,10.4,12.4,17.8, 
Costa Rica (4),total,..,..,13.3,13.3,12.7,12.1,12.7,2.2,2.7,0.0,0.0,0.0,0.0,0.0,1.3,2.3,1.0,10.4,5.4,7.3,6.2, 
Czech Republic,direct,4.8,2.8,2.3,1.6,4.0,4.4,4.8,6.9,4.5,4.2,4.7,4.4,2.5,2.3,1.9,1.3,1.3,0.9,1.1,1.4,1.3, 
Denmark (5),direct,7.4,9.7,8.9,10.9,13.1,11.2,11.3,20.1,16.0,18.4,26.9,28.0,30.5,34.6,35.5,38.0,38.4,39.0,41.2,42.5,44.2, 
Estonia (6),varies,..,0.1,0.6,1.7,2.0,1.1,0.6,1.3,0.8,4.1,0.8,0.3,0.1,0.1,0.1,0.3,0.4,0.2,0.1,0.5,2.1, 
Finland,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.8,29.1,30.9,30.6,31.1,30.3, 
France (7),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.5,28.5,28.5, 
Germany (8),total,38.8,38.1,37.3,38.7,38.5,33.8,41.4,42.6,43.2,46.5,44.6,42.0,40.4,38.5,38.1,38.3,38.0,40.7,41.2,42.9,46.2, 
Greece,varies,..,..,..,..,..,..,5.4,3.9,3.5,2.2,1.7,1.6,3.5,4.8,..,2.0,1.3,1.8,1.5,0.2,0.1, 
Hungary (1),varies,..,7.6,9.8,7.9,6.3,5.4,2.1,0.6,2.6,3.2,0.0,2.6,2.0,1.8,2.5,1.9,2.4,1.8,2.8,7.0,7.7, 
Iceland (9),total,15.5,16.5,15.3,15.6,17.1,16.6,18.1,22.4,19.2,17.6,17.9,16.6,14.5,13.5,11.3,10.7,15.5,17.4,17.7,17.0,16.8, 
Ireland (10),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,21.6,23.9,26.6,25.3,27.7,27.6, 
Israel,varies,4.4,3.7,3.4,3.1,5.3,4.5,6.7,7.3,7.3,5.3,5.8,6.5,7.2,8.1,8.5,9.4,9.8,11.3,11.5,11.9,12.1, 
Italy (1),varies,39.9,39.6,40.7,43.9,37.7,35.6,35.1,36.6,32.6,31.5,32.8,30.8,29.2,28.4,26.7,28.1,28.8,30.4,27.4,28.0,26.1, 
Japan (11),total,30.0,33.1,34.1,36.4,43.0,45.0,43.7,44.3,44.6,44.8,44.5,46.8,48.1,51.1,51.2,52.3,53.7,53.9,54.9,55.9,56.4, 
Korea (12),direct,..,23.4,21.9,23.7,23.1,24.4,26.9,24.5,26.1,29.1,29.8,27.9,27.4,27.4,27.6,28.7,29.4,29.0,..,29.6,30.3, 
Latvia,varies,..,..,..,..,..,..,..,..,0.1,0.1,0.3,0.2,0.2,0.2,2.2,3.4,3.4,5.0,4.3,3.7,3.5, 
Lithuania,total,..,..,..,..,..,..,..,..,..,2.8,1.6,2.0,2.1,1.5,1.6,2.9,2.7,3.1,2.8,2.7,3.1, 
Luxembourg,varies,..,..,..,1.4,1.4,2.3,2.2,2.8,10.9,9.7,12.2,8.7,4.8,7.5,5.3,7.3,6.7,12.9,15.3,14.2,13.2, 
Mexico (13),total,0.0,0.0,-0.0,0.6,1.6,1.8,3.5,5.4,0.0,0.9,0.5,0.5,0.4,0.1,0.4,1.7,2.1,2.7,2.5,2.5,2.7, 
Netherlands,total,16.0,16.6,13.9,11.3,10.8,9.0,20.8,20.6,22.2,19.8,19.0,19.2,16.9,15.9,14.5,21.0,21.6,22.2,20.8,19.5,24.2, 
New Zealand,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,1.7,1.4,1.6,1.2,2.0,1.9,4.4, 
Norway (1),total,11.5,13.2,11.9,10.4,10.9,9.2,9.1,7.1,6.1,6.1,6.0,6.1,4.9,4.6,5.7,6.7,6.5,6.0,5.4,6.2,6.2, 
