Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.12. Share of assets in funded and private pension plans invested abroad, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,
"Canada (1,2)",22.0,22.3,23.3,24.2,25.5,30.9,29.7,29.0,29.0,29.2,29.6,31.5,33.7,33.0,34.2,32.9,36.8,37.1,35.8,35.1,46.7, 
Chile,..,15.9,23.6,26.8,30.1,32.0,34.9,28.5,43.8,45.1,36.5,38.3,42.4,43.8,44.2,39.0,42.9,41.2,43.6,45.8,55.3, 
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.9,34.5,33.1,34.3,39.7,48.2, 
Costa Rica (3),..,..,..,..,..,..,12.7,7.5,3.4,2.3,1.5,2.8,3.7,3.6,4.9,6.3,5.7,7.5,7.9,12.7,18.2, 
Czech Republic,4.4,4.8,12.6,16.1,..,..,..,15.6,14.8,14.2,13.9,10.8,11.9,13.4,15.5,14.5,10.7,14.5,15.3,14.0,13.8, 
Denmark (4),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.7,31.0,32.9,34.5,34.9,35.4, 
Estonia (5),..,60.7,80.5,85.6,..,..,..,78.4,77.1,80.7,76.4,75.4,74.5,77.7,75.8,75.7,85.9,83.7,83.9,85.7,81.3, 
Hungary (1),..,0.7,..,..,..,..,..,0.0,0.3,..,..,..,..,..,..,..,..,..,..,11.8,15.2, 
Iceland (6),..,..,..,..,..,..,..,..,..,24.0,25.1,23.9,24.4,25.5,23.9,23.3,26.5,28.6,33.4,34.6,37.4, 
