Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.13. Share of investments of funded and private pension plans in assets issued in foreign currencies, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,
Austria (1),..,..,..,..,20.6,17.8,16.7,9.7,15.7,20.7,17.2,17.3,..,..,15.7,20.8,21.9,21.8,31.7,26.8,32.5, 
Chile,..,15.9,23.6,26.8,30.1,32.0,34.9,28.1,43.1,44.5,36.0,37.8,43.4,36.3,45.7,40.6,44.2,42.4,43.8,46.5,54.4, 
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.4,32.2,33.1,32.3,38.1,48.2, 
Costa Rica (2),..,..,..,..,..,..,..,7.5,3.4,8.2,13.3,11.5,9.1,9.9,10.4,13.7,16.2,16.6,18.6,25.1,28.2, 
Czech Republic,..,..,..,11.6,..,..,..,7.2,7.5,9.8,14.7,11.1,12.7,13.0,15.0,13.9,9.6,8.4,12.5,12.4,11.3, 
Estonia (3),..,62.7,90.3,92.5,..,..,..,..,..,..,..,..,6.5,14.8,11.5,15.7,17.1,17.8,13.6,19.9,27.3, 
"Hungary (1,4)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.0,14.9,18.3,18.8,19.7, 
Iceland (5),21.2,15.6,18.7,24.2,24.5,28.1,26.2,..,..,24.0,25.1,..,..,..,..,..,..,..,..,..,.., 
Israel,0.0,0.0,0.0,0.1,0.3,4.5,7.1,5.4,8.0,10.3,12.4,13.7,16.0,17.7,17.4,17.6,18.0,20.5,21.1,23.2,23.4, 
Lithuania,..,..,..,..,..,..,..,..,..,74.4,68.5,70.1,78.8,74.1,9.1,10.6,8.8,6.0,6.4,6.2,6.3, 
