Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.2. Total assets in funded and private pension plans, in USD million, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"263,408","292,623","358,915","442,936","583,888","678,162","1,014,341","1,095,339","867,429","1,017,082","1,437,784","1,426,024","1,482,946","1,681,786","1,517,613","1,532,849","1,838,865","1,858,710","1,825,932","1,797,259","2,291,929", ,,
Austria (1),"5,585","8,749","11,795","14,125","13,833","16,783","19,359","17,460","20,259","20,333","19,103","21,514","25,173","23,276","22,393","21,980","26,772","24,533","27,294","30,634","30,550", ,,
Belgium (2),"12,572","13,829","13,585","15,737","80,257","93,596","114,350","107,602","120,155","117,294","121,956","132,000","145,347","133,475","132,722","138,317","190,735","180,379","187,122","223,702",.., ,,
Canada (3),"741,658","721,408","974,754","1,176,362","1,372,019","1,535,715","1,951,002","1,391,903","1,711,494","2,068,887","2,157,882","2,324,632","2,405,772","2,446,199","2,225,732","2,378,020","2,721,976","2,524,309","2,814,497","3,081,679","3,218,436", ,,
Chile,"35,385","35,826","49,224","60,535","74,508","88,293","111,277","74,313","118,052","148,437","134,962","162,021","162,988","165,432","154,711","174,480","210,512","193,110","215,373","208,482","167,556", ,,
Colombia,"4,939","5,472","7,315","10,965","17,018","19,474","32,633","31,403","32,783","44,179","54,006","68,221","66,911","63,742","51,968","64,578","77,643","72,228","86,092","93,053","91,806", ,,
Costa Rica (4),474,772,"1,033",828,"1,110","1,496","1,691","2,018","2,369","2,833","3,507","4,355","5,453","5,846","9,017","9,950","14,892","16,450","20,122","21,657","24,906", ,,
Czech Republic,"1,472","2,230","3,127","4,462","5,019","6,991","9,249","9,909","11,753","12,395","12,413","14,337","14,951","14,854","15,028","15,684","20,920","20,935","22,445","25,347","26,183", ,,
Denmark,"152,547","211,366","276,002","337,121","339,962","404,048","469,955","501,045","528,882","553,049","581,495","636,211","661,173","655,857","598,574","611,895","721,674","679,017","761,777","882,109","889,945", ,,
Estonia,..,31,132,302,464,831,"1,331","1,282","1,687","1,772","1,806","2,326","2,843","3,087","3,226","3,656","4,839","4,978","5,857","7,170","5,835", ,,
Finland (5),"69,070","84,099","112,230","143,413","142,463","171,182","209,057","183,160","214,595","219,258","128,723","141,541","159,314","148,855","132,905","134,867","162,380","151,947","160,855","186,741","197,173", ,,
France,..,..,..,..,..,"136,522","162,964","168,895","222,564","225,935","224,217","241,799","271,357","226,372","212,254","242,592","293,235","289,680","296,728","344,114",.., ,,
