Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.4. Contributions into funded and private pension plans, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
Australia,7.1,6.8,6.7,7.0,7.6,8.5,15.3,10.0,8.4,7.7,7.5,7.9,7.2,7.5,8.4,8.1,8.9,6.7,6.7,6.9,6.9,,
Austria (1),0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,..,..,0.5,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
Belgium (2),0.4,0.5,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.7,..,..,,
Canada (3),1.4,1.6,2.1,2.2,2.2,2.5,2.2,2.2,3.1,2.9,2.8,3.1,2.9,2.8,2.9,2.9,2.9,2.8,2.7,2.9,..,,
Chile (4),..,3.4,3.3,3.3,3.4,3.1,3.3,3.3,3.7,3.7,3.6,3.7,3.9,3.9,4.0,4.0,4.0,4.1,4.5,4.8,4.7,,
Colombia,1.3,1.9,1.8,1.7,..,..,..,..,..,2.7,2.1,1.9,1.9,2.0,2.1,2.1,2.1,2.1,2.2,2.1,2.1,,
Costa Rica (5),..,..,..,..,..,..,..,..,..,..,..,2.0,2.0,2.0,2.1,2.2,2.1,2.1,2.2,2.5,2.6,,
Czech Republic (6),..,..,..,..,..,..,..,..,..,..,..,..,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.1,1.1,,
Denmark (7),5.5,5.7,6.0,5.5,5.6,5.8,6.1,6.5,6.5,6.7,6.9,7.0,7.1,7.0,7.2,7.7,7.9,8.1,8.2,8.2,9.0,,
Estonia (8),..,0.1,0.6,0.9,1.0,1.1,1.2,1.4,0.8,0.3,0.7,1.3,1.4,1.8,1.9,1.9,1.9,1.7,1.7,1.3,0.8,,
