Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.5. Total benefits paid from funded and private pension plans, 2001-2021",,,,,,,,,,,,,,,,,,,,,,
As a percentage of GDP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,
Australia,4.3,4.3,4.1,3.6,3.6,3.8,3.3,5.5,4.6,4.5,4.5,4.7,5.0,5.3,5.9,6.0,6.8,5.9,5.8,6.7,6.2, 
Austria (1),0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,..,..,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3, 
Belgium (2),0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,..,.., 
Canada (3),3.5,2.5,2.4,3.2,2.2,2.5,2.6,2.6,2.9,2.8,2.8,2.9,3.0,3.1,3.5,3.8,3.5,3.4,3.3,3.8,.., 
Chile,..,..,..,..,..,..,1.9,2.0,1.7,1.9,2.2,2.2,2.3,2.1,2.5,2.7,2.5,2.6,2.6,2.5,2.9, 
Costa Rica (4),..,..,..,..,..,..,..,..,..,..,..,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8, 
Czech Republic,0.2,0.2,0.2,0.2,..,..,0.2,0.3,0.4,0.4,0.5,0.6,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5, 
Denmark (5),3.3,3.5,3.6,3.7,3.7,4.1,3.6,4.4,4.7,4.9,5.4,5.5,6.4,7.1,5.5,4.8,5.4,6.1,6.0,5.9,6.3, 
Estonia (6),..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.3, 
Finland (1),..,..,..,..,..,..,..,..,..,..,1.3,1.3,1.4,1.4,1.3,1.5,1.5,1.5,1.6,1.7,1.7, 
France (7),..,..,..,..,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,.., 
Germany,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2, 
Greece (8),..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,..,..,..,..,..,..,.., 
Hungary (1),0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 
Iceland (9),..,..,3.3,3.2,3.3,3.4,3.4,3.5,5.9,5.0,5.8,5.2,5.0,5.4,5.1,7.2,5.6,5.7,5.8,7.4,7.0, 
Israel,1.6,1.4,1.5,1.5,1.5,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,..,..,..,..,..,.., 
Italy (10),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5, 
