Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table A.B.6. Annual nominal investment rates of return of funded and private pension plans, 2002-2021",,,,,,,,,,,,,,,,,,,,,
In per cent,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,
Australia,..,0.6,11.3,12.8,13.3,15.3,-7.5,-8.9,8.9,9.0,1.9,12.9,12.2,9.4,4.4,10.2,8.5,7.6,0.3,15.1, 
Austria (1),-5.2,7.1,6.6,10.5,5.3,1.8,-13.3,8.4,6.1,-3.0,8.4,4.9,7.3,2.2,4.0,5.9,-5.3,11.0,2.5,7.4, 
Belgium (1),-10.4,7.8,8.4,13.5,12.2,11.0,-20.2,13.7,7.7,-1.3,11.7,6.8,10.3,4.2,5.6,5.3,-3.2,14.3,4.1,7.7, 
Canada (1),1.4,4.4,7.3,11.9,11.4,5.3,-9.6,12.0,9.4,3.9,8.0,8.9,9.8,6.9,5.6,8.0,3.1,9.1,6.3,10.1, 
Chile,6.2,11.3,10.8,8.8,17.3,12.6,-18.7,20.3,11.5,-1.8,6.6,6.7,13.1,5.9,4.2,8.0,1.5,15.2,5.7,3.7, 
Colombia,17.5,14.2,16.5,19.8,9.1,9.8,5.0,25.9,20.2,-0.1,14.8,-0.3,10.4,3.7,9.4,13.2,0.1,15.2,9.0,9.2, 
Costa Rica (2),..,..,..,18.8,20.8,10.0,2.4,9.1,7.0,9.1,10.5,11.8,7.5,11.4,7.2,6.4,5.7,13.5,9.1,16.0, 
Czech Republic,3.8,3.2,3.6,5.0,3.1,3.3,2.1,0.4,3.0,3.0,2.6,1.6,1.3,1.0,0.8,0.5,0.4,1.7,1.1,0.8, 
Denmark (3),2.8,7.6,10.9,14.4,3.8,0.4,-0.8,6.0,9.4,9.2,8.6,1.4,11.8,2.2,6.4,4.9,-0.5,10.9,9.2,6.3, 
Estonia (4),..,3.9,8.9,11.0,7.4,3.7,-27.7,15.1,9.6,-4.6,8.8,3.1,5.0,2.1,3.3,3.3,-2.3,8.4,4.0,11.9, 
Finland (1),..,..,..,..,..,..,..,..,..,..,7.7,7.7,6.7,5.0,5.1,7.2,-1.5,11.5,4.7,14.7, 
France (5),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.3,..,..,..,.., 
Germany,2.7,4.6,4.9,4.9,4.6,4.2,1.6,4.8,4.9,3.0,4.8,4.3,4.6,3.4,3.8,3.8,1.9,4.7,2.9,4.1, 
Greece,..,..,..,..,..,..,4.4,2.9,-3.1,-3.3,5.9,..,3.8,4.5,4.2,7.6,-0.8,10.3,2.1,5.8, 
Hungary (1),6.3,2.9,15.5,11.2,7.8,3.2,-19.0,19.1,9.0,..,13.2,7.4,8.6,4.6,6.6,6.9,-1.7,9.4,3.9,2.4, 
Iceland (1),-0.9,13.4,13.8,16.6,16.7,6.3,-9.3,8.4,3.7,7.5,11.4,9.1,8.0,9.6,1.6,7.3,5.6,13.9,12.6,15.0, 
Ireland (1),..,..,..,..,..,-3.0,-35.0,..,..,..,..,..,..,4.6,8.1,6.7,-5.2,20.0,5.0,17.9, 
Israel (6),..,..,..,..,5.6,7.0,-13.1,24.8,9.8,-2.2,9.6,10.4,5.6,3.3,3.6,7.6,0.4,11.4,5.0,14.7, 
"Italy (1,7)",1.2,5.1,5.8,6.9,4.0,2.9,-3.2,6.4,3.1,0.4,6.4,4.5,5.7,1.8,2.5,2.9,-1.7,6.0,2.8,4.3, 
Japan (8),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,4.4,1.6,-1.3,12.3, 
Korea (9),..,5.7,4.7,3.7,3.7,5.3,2.5,8.2,5.1,3.5,3.4,3.2,4.1,3.7,3.4,3.4,3.3,..,3.0,3.0, 
Latvia,3.1,5.6,5.9,8.1,3.9,3.2,-12.8,12.9,7.9,-2.1,8.3,2.3,5.3,1.7,2.2,3.0,-4.4,9.8,2.3,7.7, 
Lithuania,..,..,..,..,..,..,..,..,..,-3.5,10.2,3.9,7.3,4.5,4.4,4.2,-4.3,10.0,5.4,18.1, 
Luxembourg,..,..,..,..,7.3,0.8,-10.4,8.4,3.5,0.9,8.5,3.3,7.7,1.7,4.2,2.6,-3.4,7.7,2.8,6.2, 
Mexico (2),..,..,..,8.3,9.8,3.6,-1.8,11.4,11.2,5.0,13.6,2.5,8.9,1.3,2.9,8.4,-0.3,13.3,12.7,7.1, 
Netherlands,-8.1,10.6,9.7,13.2,7.8,2.4,-15.7,12.8,11.0,6.8,12.7,3.3,15.9,1.6,9.7,5.5,-1.2,15.9,7.7,7.9, 
New Zealand,-2.3,-1.5,10.3,7.2,12.4,7.7,-2.3,-6.8,12.8,7.7,3.2,10.5,..,..,..,..,..,..,..,.., 
Norway (1),-2.6,12.1,8.6,11.2,9.8,6.0,-8.7,12.0,8.4,0.0,7.5,10.1,7.2,4.3,5.5,7.9,-0.1,9.6,7.5,8.1, 
Poland (1),12.6,10.5,13.1,13.9,14.9,5.4,-14.7,13.0,10.5,-4.9,4.0,3.4,..,-6.7,9.3,17.0,-10.0,0.9,-2.3,25.5, 
Portugal (1),-2.9,9.9,9.3,9.8,9.8,8.3,-12.5,11.5,-0.5,-3.9,7.8,5.1,6.6,2.5,1.5,4.7,-1.1,7.9,3.9,4.3, 
Slovak Republic,..,..,..,..,..,3.3,-5.0,1.5,1.3,0.5,3.7,1.5,3.7,0.3,2.6,2.2,-0.0,6.4,2.7,6.3, 
Slovenia,..,..,4.6,10.4,..,14.3,6.2,9.2,5.2,1.6,7.2,3.4,9.8,5.7,7.5,2.6,-0.4,5.8,2.1,3.7, 
Spain (10),..,..,..,..,..,..,-6.6,7.2,1.2,0.6,6.4,7.7,6.4,2.1,2.6,3.3,-3.1,8.5,1.3,7.9, 
Sweden (1),..,..,..,..,..,..,..,..,..,1.3,7.8,6.8,10.3,2.8,6.5,6.7,-0.1,11.3,5.9,.., 
Switzerland (1),-6.4,5.5,4.1,10.3,6.0,2.2,-13.2,10.2,3.3,-0.1,7.1,6.0,6.9,0.7,3.9,7.3,-2.9,10.2,4.2,7.8, 
Türkiye (2),..,..,..,31.5,11.2,22.7,11.1,25.3,8.4,-1.0,16.4,-0.8,14.2,2.2,10.8,15.1,9.0,20.2,19.6,22.9, 
United States (1),-9.0,15.0,5.9,5.6,7.4,3.4,-26.9,12.6,7.3,-1.0,7.3,11.8,4.2,-1.6,4.8,9.8,-4.7,12.3,9.3,10.3, 
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,
Albania,..,..,..,..,..,..,7.0,8.4,9.5,4.6,5.7,5.6,5.0,5.3,5.0,4.4,3.9,3.9,3.5,3.4, 
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,5.5,6.0,5.8, 
Argentina,..,..,..,17.5,25.2,10.9,..,..,..,..,..,..,..,..,..,..,..,..,..,.., 
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,2.8,5.2,13.8,13.4,4.3,13.3,11.2,2.8, 
Bolivia,..,..,..,8.6,7.9,8.5,9.7,10.0,8.1,..,..,..,..,..,..,..,..,..,..,.., 
Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.0,3.1,8.0,0.8,.., 
Brazil,..,..,..,..,..,17.8,..,..,..,..,..,..,..,..,..,..,5.9,..,..,.., 
Bulgaria,10.8,9.9,11.7,8.5,8.3,15.1,-23.9,8.5,5.0,-0.3,7.3,4.6,5.8,1.5,5.0,6.8,-3.5,6.7,2.5,5.1, 
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,9.4,10.6,7.8,2.4,1.1,8.4,0.9,6.4, 
Dominican Republic (2),..,..,..,17.1,11.5,8.5,12.1,14.0,10.8,12.5,14.3,13.2,11.7,10.7,9.8,10.8,7.4,10.2,9.8,17.5, 
Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8,12.1,13.0,13.3,14.3,12.0, 
El Salvador,..,..,..,5.8,6.1,6.3,3.1,5.4,4.6,2.8,5.2,2.3,3.9,2.3,3.7,4.7,4.2,6.2,4.2,5.5, 
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.3,10.3,10.2, 
Ghana,..,..,..,..,..,..,..,..,..,..,..,..,21.0,24.0,20.0,..,..,..,..,1.6, 
Gibraltar,..,..,..,..,..,..,..,..,..,..,2.1,2.5,..,..,..,..,..,..,..,.., 
Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,1.2,4.6,4.4,1.8,0.9,0.8, 
Hong Kong (China) (11),..,..,..,..,..,..,..,26.6,7.8,-11.3,12.4,7.4,1.5,-3.6,0.9,22.3,-9.3,12.2,11.7,-0.3, 
India (12),..,..,..,..,..,..,..,..,..,3.7,11.2,2.8,17.7,6.4,..,..,..,7.6,13.4,7.1, 
Indonesia,..,..,..,..,..,..,..,..,..,4.4,11.3,2.5,15.6,6.2,11.1,11.3,3.8,8.2,8.7,5.9, 
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3,6.3,10.3,10.3, 
