Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.7. Annual real investment rates of return of funded and private pension plans, 2002-2021",,,,,,,,,,,,,,,,,,,,,,,
In per cent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
Selected OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,..,-1.9,8.5,10.1,8.9,12.9,-11.4,-10.2,5.6,5.3,0.6,10.3,8.9,7.8,3.3,8.1,6.3,5.9,0.6,10.8, ,,
Austria (1),-6.9,5.7,3.6,9.0,3.8,-1.8,-14.4,7.3,3.7,-6.0,5.5,2.9,6.2,1.2,2.6,3.7,-7.1,9.2,1.4,3.0, ,,
Belgium (1),-11.6,6.0,6.0,10.3,10.3,7.7,-22.3,13.4,4.4,-4.6,9.2,5.8,10.7,2.6,3.5,3.1,-5.4,13.4,3.7,1.9, ,,
Canada (1),-2.3,2.2,5.1,9.6,9.5,2.9,-10.7,10.5,6.9,1.6,7.1,7.5,8.2,5.2,4.0,6.1,1.1,6.7,5.6,5.0, ,,
Chile,3.3,10.1,8.1,5.0,14.4,4.4,-24.1,23.5,8.3,-6.0,5.1,3.6,8.0,1.5,1.5,5.6,-1.0,11.9,2.7,-3.2, ,,
Colombia,9.8,7.2,10.4,14.2,4.4,3.9,-2.5,23.4,16.5,-3.7,12.0,-2.2,6.5,-2.9,3.5,8.8,-3.0,11.0,7.2,3.4, ,,
Costa Rica (2),..,..,..,4.1,10.3,-0.7,-10.1,4.9,1.1,4.2,5.7,7.9,2.3,12.3,6.4,3.7,3.6,11.8,8.1,12.3, ,,
Czech Republic,3.1,2.2,0.8,2.7,1.3,-2.0,-1.6,-0.6,0.7,0.6,0.2,0.2,1.2,1.0,-1.2,-1.8,-1.6,-1.4,-1.2,-5.5, ,,
Denmark (3),0.3,6.1,9.6,11.9,2.0,-1.9,-3.1,4.5,6.4,6.6,6.4,0.6,11.3,1.8,5.9,3.9,-1.3,10.1,8.7,3.1, ,,
Estonia (4),..,2.9,3.7,7.2,2.2,-5.4,-32.4,17.1,3.7,-8.0,5.2,1.7,5.5,3.0,1.0,-0.1,-5.5,6.6,4.8,-0.2, ,,
Finland (1),..,..,..,..,..,..,..,..,..,..,5.2,6.0,6.2,5.3,4.0,6.7,-2.6,10.5,4.5,10.9, ,,
France (5),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,..,..,.., ,,
