Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.8. Allocation of assets in funded and private pension plans in equities, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.2,43.2,43.7,42.0,47.0, 
Austria (1),total,16.3,14.3,16.5,19.4,37.0,36.1,35.1,21.2,26.1,31.6,26.0,29.5,34.4,32.6,30.1,33.4,35.5,32.8,24.8,29.3,33.0, 
Belgium (2),varies,17.7,14.6,10.2,9.4,9.2,8.9,42.4,32.8,34.5,37.7,34.8,37.3,39.0,42.3,41.6,42.6,47.3,49.1,47.8,47.4,49.7, 
"Canada (1,3)",total,40.0,37.5,39.5,38.6,39.7,39.6,36.6,31.8,33.9,33.8,30.9,31.2,31.7,30.1,28.3,28.9,30.5,28.7,27.3,26.8,40.6, 
Chile,varies,10.7,10.3,15.0,16.1,14.8,17.0,15.3,36.6,41.5,48.2,40.4,41.6,42.1,40.3,39.6,33.6,40.8,38.8,38.1,36.7,43.9,
Colombia,varies,2.7,2.9,4.1,6.7,10.6,1.3,22.8,24.0,40.3,43.4,33.1,35.1,31.5,27.6,25.4,38.0,40.4,34.0,35.1,38.7,41.1,
Costa Rica (4),total,..,..,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.3,1.8,3.7,1.6,2.2,4.4,6.8,9.3,15.2, 
Czech Republic,direct,7.3,6.4,4.9,5.5,6.0,6.6,5.9,3.0,1.6,0.8,0.4,0.2,0.3,0.1,0.2,0.4,0.6,0.7,1.0,1.5,2.4, 
Denmark (5),direct,31.1,19.0,20.1,18.3,24.9,28.3,29.4,17.1,17.4,23.6,20.2,19.9,21.5,19.6,22.3,21.9,25.6,25.2,25.8,25.4,25.8, 
Estonia (6),varies,..,11.4,33.5,35.1,37.4,39.4,39.6,29.6,32.0,38.6,32.6,33.7,33.8,34.5,31.0,33.8,36.1,34.2,40.0,48.8,59.1, 
Finland,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.1,39.5,38.2,42.3,43.5,45.6, 
France (7),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.0,13.0,13.0, 
Germany (8),total,17.9,15.5,12.0,12.8,12.0,14.9,11.9,5.6,5.8,4.7,3.2,3.6,4.4,4.5,5.0,5.8,6.2,5.3,6.0,6.5,7.6, 
Greece,varies,..,..,..,..,..,..,5.4,4.9,5.9,3.0,0.5,2.5,2.6,4.4,..,7.4,11.4,11.9,16.2,19.4,19.3, 
Hungary (1),varies,..,9.1,9.0,7.9,7.8,9.4,14.0,12.2,10.8,9.2,6.7,5.6,4.8,5.2,6.5,7.6,7.1,7.5,7.9,30.0,30.7, 
Iceland (9),total,29.7,25.8,31.0,33.7,35.2,40.1,35.0,18.0,21.7,18.1,18.1,21.3,26.3,30.9,34.2,31.7,30.5,30.6,35.3,38.8,41.9, 
Ireland (10),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.2,32.7,32.3,28.4,25.3,24.5,24.5, 
Israel,varies,1.3,1.4,1.8,2.8,4.3,5.2,6.4,3.0,5.2,12.1,11.4,13.7,16.5,17.5,16.8,17.1,18.0,18.9,20.5,22.4,24.1,
Italy (1),varies,7.5,6.7,7.3,9.3,9.9,10.8,10.3,11.2,15.5,16.7,15.3,17.0,19.2,19.7,19.5,19.3,20.1,18.2,21.4,22.1,25.1, 
Japan (11),total,27.2,22.6,26.1,22.5,24.4,21.3,18.4,13.1,13.7,13.3,10.8,11.3,12.8,11.0,11.2,10.0,10.9,8.6,9.7,9.3,10.0, 
Korea (12),direct,..,1.6,2.4,1.9,2.5,2.7,2.7,2.8,3.2,4.0,4.1,4.5,3.9,3.5,2.9,3.1,3.4,2.7,..,3.4,3.2, 
Latvia,varies,..,..,..,..,..,..,..,..,0.6,1.1,0.7,0.7,0.9,1.1,19.2,20.6,27.9,27.7,29.9,32.6,41.5, 
Lithuania,total,..,..,..,..,..,..,..,..,..,38.9,30.0,34.8,36.3,38.9,38.2,41.4,45.9,43.3,74.8,74.4,74.6,
Luxembourg,varies,..,..,..,27.1,4.1,0.9,0.0,0.2,0.2,14.3,13.4,17.4,21.5,22.5,22.1,25.3,29.1,21.2,23.5,26.3,28.2,
Mexico (13),total,0.0,0.0,..,..,11.2,13.8,12.8,12.9,16.1,16.9,17.4,20.8,23.4,23.1,21.3,20.3,21.5,18.2,18.2,20.8,23.1, 
Netherlands,total,47.8,37.0,44.6,44.5,46.2,46.9,40.3,33.4,32.2,35.6,34.6,34.1,37.0,38.8,37.4,31.0,31.6,28.5,30.6,30.7,30.9,
New Zealand,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,27.3,26.5,29.1,32.7,31.8,36.1,38.3,45.6,
Norway (1),total,25.9,16.2,20.9,24.8,28.9,32.8,32.5,22.5,31.0,34.3,29.0,32.3,35.5,36.0,35.4,35.7,36.9,35.8,37.1,38.9,41.0, 
Poland (1),direct,28.4,27.7,31.9,33.2,31.8,34.0,34.6,21.5,30.2,36.3,30.7,34.8,41.5,81.9,82.3,82.8,85.2,84.9,82.4,84.9,91.0, 
Portugal (14),varies,19.9,17.0,19.3,20.6,20.5,28.5,24.5,18.0,22.2,21.7,20.0,17.3,20.3,18.8,19.5,19.1,15.0,12.2,11.7,12.6,15.8, 
Slovak Republic (15),varies,..,..,10.7,..,6.3,8.6,8.9,2.7,0.2,1.4,1.2,0.2,1.1,1.5,1.5,2.1,2.2,2.5,2.6,3.1,4.0,
Slovenia,direct,..,..,4.3,7.2,4.2,5.5,8.3,3.1,2.7,2.6,1.2,1.4,1.3,1.5,1.1,1.2,1.9,2.2,2.8,3.2,5.1,
Spain (1),varies,19.6,13.9,15.9,17.5,19.4,19.8,17.4,9.1,11.1,11.3,9.2,9.1,9.3,9.3,9.7,11.1,13.2,13.1,14.6,25.9,31.9, 
Sweden,direct,35.6,25.0,25.5,27.2,25.2,23.0,21.0,17.7,14.5,14.7,14.0,13.5,14.5,14.5,13.8,15.5,13.9,13.9,12.4,14.1,13.8, 
Switzerland (1),varies,23.6,19.3,19.0,18.6,18.1,17.5,15.7,21.5,26.6,27.6,26.0,27.8,29.2,29.5,29.7,30.3,31.1,28.0,30.2,30.9,31.7, 
Türkiye (16),total,..,..,..,13.3,11.1,8.7,11.6,8.0,9.6,12.0,..,16.1,14.0,13.5,14.2,11.9,13.1,13.9,14.6,15.5,17.9, 
United Kingdom (17),varies,55.7,49.4,45.2,41.8,41.8,39.6,32.1,28.9,28.1,26.3,22.9,21.7,21.0,20.7,18.3,17.3,15.3,11.3,26.6,26.3,26.4, 
United States,direct,35.6,32.4,34.4,35.3,34.1,32.5,31.9,26.5,28.4,29.1,28.5,29.4,31.7,31.6,31.8,32.2,34.2,32.8,33.3,34.2,36.4,
Selected other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,
Albania,total,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.8,0.9,1.0,0.7,0.6,0.8,
Armenia,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,varies,..,..,..,..,..,..,..,..,..,..,..,..,51.0,..,..,..,69.8,68.7,64.4,73.2,..,
Brazil (18),varies,..,..,..,..,..,18.0,20.8,27.4,32.1,32.8,29.8,..,27.9,25.6,17.3,17.4,16.9,18.4,21.5,19.7,16.5, 
Bulgaria,direct,0.9,3.0,2.8,2.9,6.4,15.8,21.5,10.4,11.3,14.8,11.7,11.0,12.8,16.3,16.2,15.3,17.4,17.4,11.6,12.1,16.8, 
Croatia (19),total,..,..,..,..,..,..,..,..,..,..,..,..,..,22.7,23.7,21.9,21.9,21.0,24.9,24.7,29.4,
Dominican Republic,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,1.4,3.0,4.3,.., 
Egypt,total,..,..,..,..,..,..,..,2.1,..,..,..,..,..,..,..,6.4,1.7,3.1,3.6,3.8,2.9, 
Georgia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,
Ghana,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.9,1.7,3.1,2.2,7.1,1.6, 
Gibraltar (20),total,..,..,..,..,..,..,..,..,..,..,51.6,33.9,42.9,37.2,..,..,..,..,..,..,.., 
Guyana,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.3,23.4,27.3,37.7,40.1,40.7,50.4,
Hong Kong (China) (21),total,..,50.4,46.9,46.5,47.0,50.6,53.8,45.5,50.7,55.2,55.0,57.4,60.5,61.1,60.6,59.9,63.4,57.5,60.5,61.4,63.3, 
India (22),total,..,..,..,..,..,..,..,..,..,..,7.0,7.8,8.7,10.1,10.6,11.2,13.9,13.7,13.1,15.3,16.5, 
Indonesia,direct,..,..,..,..,..,..,..,..,..,..,16.2,..,..,..,13.7,12.6,12.3,11.9,11.2,10.5,9.7, 
Jamaica,varies,..,..,..,..,..,..,19.9,10.8,12.7,14.0,16.0,14.7,15.4,15.7,24.0,28.5,33.5,38.1,40.7,34.6,35.4,
Kazakhstan,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,2.5,4.5,6.5,
Kenya,varies,10.3,9.5,19.8,24.3,30.8,38.2,..,32.7,20.2,21.2,23.5,24.3,26.0,26.6,..,16.3,19.8,17.6,17.9,15.8,16.7,
Liechtenstein,total,..,..,..,..,..,..,22.2,16.7,19.6,26.1,25.1,24.9,26.3,29.4,29.6,30.1,31.7,28.6,31.5,31.6,31.8,
Macau (China),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.9,27.4,26.0,
Malawi,total,..,..,..,..,..,..,..,..,..,..,..,..,..,49.8,38.8,38.4,41.8,48.4,52.3,52.1,54.0,
Maldives,total,..,..,..,..,..,..,..,..,..,0.0,3.0,2.3,1.9,3.5,2.9,2.5,4.5,3.9,4.0,3.6,3.2,
Malta,direct,..,..,..,..,..,..,..,..,..,..,..,..,8.9,9.4,9.0,11.7,12.3,..,22.8,26.0,28.9, 
Mauritius,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.0,56.0,..,52.3,45.5,53.8, 
Morocco,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.5,..,..,50.6,
Mozambique,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,3.6,3.2,
Namibia (1),total,..,..,..,..,..,..,..,..,..,65.5,59.5,56.5,70.4,68.9,..,60.1,65.1,55.6,55.8,52.7,51.5, 
Nigeria,varies,..,..,..,..,..,..,29.9,20.3,14.7,18.9,14.4,12.8,15.9,13.0,11.1,9.8,10.7,7.9,6.3,8.4,8.0,
North Macedonia,total,..,..,..,..,..,..,21.7,9.2,6.3,9.7,18.8,18.9,25.2,29.2,30.4,30.6,30.3,29.5,29.7,29.7,32.0,
Pakistan,total,..,..,..,..,..,..,30.4,14.3,29.1,30.7,28.7,32.2,37.3,44.3,49.3,55.2,49.0,45.5,41.5,41.3,37.5, 
Panama,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,
Papua New Guinea,total,..,..,..,..,..,..,..,..,..,..,..,..,48.7,..,..,..,42.4,42.5,..,..,..,
Peru,total,26.5,35.0,42.5,44.9,43.0,43.9,49.8,30.9,46.0,46.7,43.6,43.4,42.7,44.7,39.6,38.7,43.0,41.6,38.4,41.3,38.6,
Romania,varies,..,..,..,..,..,..,1.2,2.0,9.1,12.3,11.9,12.4,16.5,20.4,22.1,21.5,23.0,20.1,25.0,24.8,28.9,
Russia,varies,..,..,..,..,..,..,..,..,..,..,..,..,8.4,8.4,9.6,12.5,11.5,7.7,6.9,6.8,.., 
Serbia,total,..,..,..,..,..,..,22.5,..,7.2,11.4,5.4,2.9,2.8,3.9,4.1,7.4,8.5,8.6,11.1,12.0,13.6,
Singapore (23),total,..,..,..,..,..,..,..,..,..,..,..,..,0.8,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1, 
South Africa (24),varies,..,..,32.8,48.8,29.6,23.3,25.1,15.9,20.8,22.4,21.2,19.9,21.4,21.3,21.1,19.5,18.8,19.2,18.1,16.6,.., 
Suriname,varies,..,12.0,8.0,10.0,11.0,13.0,..,..,..,..,..,..,..,..,..,10.2,7.0,6.3,6.1,4.5,4.4, 
