Table 1
Return to the menu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table A.B.9. Allocation of assets in funded and private pension plans in bills and bonds, 2001-2021",,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total investment,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,exposure,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.9,14.7,15.4,14.6,13.3, 
Austria (1),total,78.0,79.5,73.6,71.6,53.2,50.8,44.4,49.0,53.4,48.9,52.0,52.1,48.1,47.8,46.4,45.7,44.4,45.4,35.4,31.6,27.2, 
Belgium (2),varies,15.5,16.8,5.3,4.3,6.4,6.2,38.2,42.3,40.8,42.8,46.0,45.9,42.0,45.0,43.8,44.8,41.7,41.1,44.1,45.1,43.2, 
"Canada (1,3)",total,36.1,36.5,34.6,34.5,33.4,32.3,34.1,37.4,35.2,35.5,38.8,37.1,34.6,35.6,34.8,33.6,31.7,31.7,31.9,30.4,26.9, 
Chile,varies,65.1,64.2,51.7,48.5,47.0,43.2,41.7,58.7,47.5,48.8,57.7,56.7,56.7,58.7,59.2,65.6,58.4,60.6,60.9,61.1,54.3, 
Colombia,varies,89.9,90.1,86.9,84.9,35.2,91.7,65.2,65.9,55.1,50.0,51.3,52.2,52.6,48.5,46.8,50.8,49.5,53.1,52.3,46.7,39.4, 
Costa Rica (4),total,..,..,83.7,81.4,82.4,82.6,87.0,86.2,94.1,95.7,100.0,100.0,99.7,98.2,91.2,93.8,94.2,81.8,86.1,78.3,72.7, 
Czech Republic,direct,83.9,85.6,84.9,83.0,80.3,79.3,75.2,78.9,80.5,84.5,84.5,84.4,85.4,87.8,87.1,88.0,76.9,75.6,72.4,80.8,81.8, 
Denmark (5),direct,53.3,63.8,62.6,56.1,51.9,49.6,47.9,53.1,56.6,46.8,42.8,40.7,36.1,33.9,32.8,31.1,29.9,30.9,29.3,28.6,26.0, 
Estonia (6),varies,..,60.1,55.9,52.5,54.6,53.6,47.1,55.0,51.9,47.8,50.2,49.6,48.6,48.4,48.6,42.6,59.5,62.5,56.3,48.0,34.1, 
Finland,total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.6,27.9,27.4,24.5,21.8,19.5, 
France (7),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.5,58.5,58.5, 
Germany (8),total,41.7,44.0,48.3,46.0,45.7,47.4,42.9,47.1,48.2,46.3,48.7,51.4,51.5,53.4,52.5,52.4,52.0,49.8,48.9,47.7,43.5, 
Greece,varies,..,..,..,..,..,..,37.2,58.9,52.2,48.2,52.4,37.1,32.5,60.2,..,61.5,58.7,54.7,51.6,45.3,39.3, 
Hungary (1),varies,..,73.1,73.6,75.5,75.5,69.7,66.8,62.0,56.8,54.5,64.0,63.3,63.7,63.6,62.3,60.7,60.1,61.8,56.5,59.9,55.6, 
Iceland (9),total,53.1,55.5,51.2,48.3,44.7,42.0,43.5,48.9,50.0,53.0,53.4,51.8,49.7,47.7,46.1,49.7,44.0,45.0,40.4,37.8,35.8, 
Ireland (10),total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.0,42.2,40.9,41.9,45.6,45.1,45.1, 
Israel,varies,92.4,93.4,93.4,92.2,89.0,85.4,81.8,84.9,78.0,75.6,78.2,74.6,71.5,69.3,68.7,67.0,65.1,64.1,62.5,59.6,56.7, 
Italy (1),varies,36.5,38.4,34.0,30.5,36.5,35.9,38.0,44.5,46.2,46.6,47.5,48.0,48.0,48.7,49.7,47.5,45.0,45.1,45.5,44.1,42.7, 
Japan (11),total,38.3,40.4,34.8,34.4,28.1,29.0,31.9,36.2,35.5,36.2,38.0,35.4,32.6,31.2,30.3,30.2,28.0,29.8,28.1,26.8,26.0, 
Korea (12),direct,..,65.9,67.2,65.4,65.3,60.3,54.4,48.5,44.2,45.4,44.2,43.8,45.8,45.1,45.5,44.7,43.0,42.5,..,39.2,36.2, 
Latvia,varies,..,..,..,..,..,..,..,..,38.9,30.6,41.1,41.3,46.2,46.7,59.4,63.3,61.7,61.3,59.0,56.0,52.0, 
Lithuania,total,..,..,..,..,..,..,..,..,..,53.6,61.9,59.4,58.4,53.3,51.0,46.8,46.2,46.3,20.2,20.6,18.9, 
Luxembourg,varies,..,..,..,62.8,22.8,20.4,21.6,18.9,14.2,66.5,69.6,69.2,68.7,66.5,71.0,64.0,60.0,57.7,55.8,54.7,54.4, 
Mexico (13),total,99.8,99.8,100.0,99.4,87.2,84.4,83.7,81.7,83.0,81.8,81.8,77.9,75.2,75.9,77.2,77.1,75.5,78.1,78.5,75.6,72.9, 
Netherlands,total,36.2,43.5,39.3,41.5,40.7,39.8,35.0,41.9,43.4,42.1,44.4,43.7,43.4,42.5,46.0,45.6,43.5,46.2,45.5,47.2,42.9, 
New Zealand,direct,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,22.0,22.3,23.3,24.2,23.6,23.8,24.0, 
Norway (1),total,56.8,64.1,61.7,60.1,55.4,53.3,55.2,66.0,59.1,57.0,62.3,59.0,57.2,56.7,56.5,55.4,54.2,56.2,54.4,52.7,51.1, 
